cp,otros
14248,1
14250,1
14260,1
14266,1
14267,1
14268,1
14269,1
14273,1
14275,1
14300,1
14308,1
14310,1
14320,1
14325,1
14326,1
14330,1
14340,1
14350,1
14357,1
14360,1
14370,1
14376,1
14377,1
14380,1
14386,1
14387,1
14388,1
14389,1
14390,1
14406,1
14408,1
14409,1
14410,1
14420,1
14426,1
14427,1
14429,1
14430,1
14438,1
14439,1
14440,1
14449,1
14456,1
14460,1
14470,1
14480,1
14490,1
14600,1
14608,1
14609,1
14610,1
14620,1
14629,1
14630,1
14640,1
14646,1
14647,1
14655,1
14658,1
14659,1
14650,1
14643,1
14710,1
14654,1
14653,1
14720,1
14730,1
14737,1
14739,1
14734,1
14740,1
14748,1
14749,1
14750,1
14780,1
14790,1
14900,1
15000,1
15010,1
15020,1
15100,1
15200,1
15210,1
15220,1
15230,1
15240,1
15250,1
15260,1
15270,1
15280,1
15290,1
15300,1
15309,1
15310,1
15320,1
15330,1
15339,1
15340,1
15350,1
15370,1
15380,1
15390,1
15400,1
15410,1
15420,1
15430,1
15440,1
15450,1
15460,1
15470,1
15500,1
15510,1
15520,1
15530,1
15540,1
15600,1
15620,1
15630,1
15650,1
15670,1
15700,1
15710,1
15640,1
15730,1
15740,1
15750,1
15800,1
15810,1
15820,1
15830,1
15840,1
15850,1
15860,1
15870,1
15900,1
15960,1
15970,1
15980,1
15990,1
16000,1
16029,1
16030,1
16034,1
16020,1
16010,1
16038,1
16040,1
16050,1
16059,1
16060,1
16070,1
16080,1
16090,1
16210,1
16100,1
16244,1
16300,1
16310,1
16340,1
16410,1
16420,1
16429,1
16430,1
16400,1
16440,1
16443,1
16450,1
16457,1
16500,1
16510,1
16513,1
16514,1
16530,1
16533,1
16600,1
16515,1
16606,1
16607,1
16609,1
16610,1
16614,1
16615,1
16616,1
16604,1
16617,1
16620,1
16630,1
16640,1
16710,1
16629,1
16739,1
16740,1
16749,1
16750,1
16770,1
16797,1
16799,1
16780,1
16776,1
13419,1
16866,1
16093,1
16043,1
13116,1
16813,1
13115,1
16840,1
16634,1
16633,1
16517,1
16618,1
13467,1
13466,1
16556,1
13465,1
14479,1
16320,1
16240,1
16428,1
16850,1
16106,1
16624,1
16550,1
16785,1
16784,1
16900,1
12210,1
12004,1
12003,1
12547,1
12544,1
12114,1
12610,1
12005,1
12933,1
12252,1
12710,1
16654,1
16243,1
12115,1
12230,1
12420,1
16650,1
16783,1
12116,1
13547,1
12240,1
12303,1
12205,1
12810,1
12113,1
12924,1
12913,1
12935,1
12220,1
16518,1
16516,1
07155,1
12305,1
12300,1
07135,1
07146,1
07145,1
01220,1
10330,1
05750,1
05910,1
05740,1
10928,1
