V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52
6285.917104383876,4756.359576894547,12236.630337330098,9357.685129312795,12642.21885590194,10997.939807374029,9965.021985255933,4779.109062682526,2048.0469790864818,3477.0572017142435,0,2717.784976335701,7409.2306029878755,8703.855091128818,17012.732358063775,15852.798057808088,9386.721115423314,9198.459306158176,10196.126257626844,11091.97663008147,11456.225130223182,14935.041407741772,10396.055685121148,13699.980936044698,11129.351906927071,16105.447814569547,17354.078138816756,18961.25886552438,16000.165768447741,14230.221949488303,12679.66315153269,13740.19850909234,13901.776903217351,8604.795066851193,7597.241796964862,6001.329133549302,8025.021631966518,9853.220434766272,6191.535242961579,6721.190340458931,7347.927210954593,8065.708281719873,10456.798805266497,9797.88710918069,12263.029396409842,11095.260258578546,15125.284240446244,16396.419441247752,18416.935232992415,15625.418736938733,14440.894408100236,19625.785909533195
8161.629951510039,5355.891875607144,13356.163559746516,10269.665902050403,12867.394481875826,9497.682311182736,11286.267913813874,3284.5626403468837,4034.5959263847267,4803.66445606658,2717.784976335701,0,5539.906159838822,5990.584261968175,18931.62780476698,17374.55790046756,11083.185905210386,10130.729109627553,10473.630107294755,13471.048585076105,14080.416004199833,16971.745285741858,12762.904504694367,16184.909523972041,13840.794978464231,18744.521852563128,19860.434829001402,21398.802700624517,18555.844820760667,16883.975492728066,15326.120950739123,16329.189178686525,16594.896174612124,11227.255307925267,10177.413204067532,8595.605886960024,10415.502258447324,12498.46557739393,8886.875121319063,9438.28417937775,10059.056775290395,10753.706082472067,12940.103358068201,11975.545426656028,14345.241538979715,13533.294510191823,17577.181927523114,18942.561167809352,20829.265730928502,17992.501162783756,16667.10535743396,22032.98872761334
13555.513570251447,10878.588367236534,18885.581208173684,15782.561341821365,18093.167924856625,13119.98633585493,16825.127138294545,2651.4143866415275,7216.071168695793,6581.240480308249,7409.2306029878755,5539.906159838822,0,5780.636706565277,18958.021677531095,16506.512901223825,11341.953133304532,8924.505652308093,7852.673463667731,18475.30204638127,18547.6135417199,22312.66042502881,17786.104832814483,20999.736973500483,17319.57598630881,23093.689624402574,24610.697722789297,26284.155779059485,23191.040404337942,19683.643456065794,18144.57480002827,18775.535842918445,19729.189495762937,14165.770835938642,13020.673123078737,11681.603928029033,12565.75930124323,15467.200682434579,13156.405060648995,13409.822742087665,13729.218397670875,14999.11660477206,15142.962011088128,13308.093561246144,15159.16943943544,15521.331658032952,19358.482973677026,21065.16699020147,22313.38609402125,19436.5263581855,17721.751721452165,23453.2681690621
13193.12139846689,9497.030434444754,16848.517046013392,13759.993972050728,14826.143568795022,8226.498898068801,15283.581756488235,6249.395741473387,9824.560028666827,10109.374180704297,8703.855091128818,5990.584261968175,5780.636706565277,0,23932.389082136582,21831.241175267714,16059.871897086401,14207.833019216425,13524.70775620039,18899.360445216607,19874.444477490717,21778.597078569033,18189.227061586498,21733.851399736664,19831.23744083381,24541.16684506209,25410.48126200554,26813.341780039947,24202.613725912706,22837.279287039146,21275.137580014976,22220.335840605243,22579.10182690476,17166.459831566,16088.794762799474,14527.912532630178,16160.212173836395,18451.82320642675,14821.620776094736,15414.511272621397,16049.464866845945,16669.188430265185,18742.001032937373,17469.408834884853,19667.712331719627,19282.423019654725,23307.6949590785,24777.57191174953,26489.031916812102,23615.419474993527,22126.81149735449,27678.812274432057
19418.442643764774,20931.792152622107,25392.80343944257,23781.346276410357,27872.785784598906,28006.092965410327,23156.33411435332,17687.23679671357,15063.753711906555,14137.928278458829,17012.732358063775,18931.62780476698,18958.021677531095,23932.389082136582,0,3539.490987210602,7899.740289862105,10078.868893301189,11899.420574582238,18692.58312211942,15997.914956249584,23227.0146867179,18526.87272236286,18742.48818746958,11845.699729596457,17364.659704565194,20363.723214928443,22262.66624149556,18888.66402684523,9675.435213995219,9565.688470673285,8298.285684282188,10920.876339660146,10582.82241530607,10803.351498663023,12005.230386268195,9525.01431352953,10305.463606834011,14603.720178971087,13671.621138516815,12736.279997673439,14466.570604421127,8216.594243837162,7383.689496406248,4873.2801385263565,7465.314898530218,6025.38488994953,7587.05712256127,5988.0243730032935,4866.683506232406,3803.257507425576,6513.752296761977
19341.110341042047,20202.403380561645,25632.346282966813,23650.80748714468,27617.298784612783,26760.305276045867,23298.46559612032,15619.64806697152,13814.1127827621,12618.410943858817,15852.798057808088,17374.55790046756,16506.512901223825,21831.241175267714,3539.490987210602,0,6485.07273544035,7630.810668971253,8969.86991178169,19673.452515732366,17289.003056071037,24388.40026013124,19386.840307128026,20221.05623730154,13252.321576984059,19425.58679842192,22323.687891854865,24273.65340567891,20774.037262768157,11929.214865016373,11402.38888396236,10449.03201779553,13041.876274458513,11143.551181516345,10993.771410019091,11815.023564623665,9455.693940689613,11283.6895264358,14783.24867246466,13952.479621227307,13132.40616521794,15093.776994561007,9103.9201318526,7279.374432172736,5289.052615456969,8491.703079093775,8628.168421826776,10473.501587793118,9379.1609095441745,7654.733765645807,5929.736131153872,10011.383538758897
13134.701585568078,13728.657953541195,19551.660982504272,17359.210516826814,21243.968170800523,20344.29106010886,17178.198645030563,9832.126091608956,7360.7226335739615,6279.69506553692,9386.721115423314,11083.185905210386,11341.953133304532,16059.871897086401,7899.740289862105,6485.07273544035,0,3252.067457942946,5794.998446065932,14498.187419527972,12702.744980567433,19271.504368436345,14071.345953874628,15733.910452818154,9322.485923669998,16023.154773164917,18549.1442460689,20503.201997882617,16947.63804347795,9922.637278433327,8666.510827314494,8619.797930597264,10520.387037349785,6220.647672120786,5557.370430762429,5816.988780172443,3978.1111278405065,7006.346180599291,8942.894103775116,8279.05794956686,7674.766625846695,9747.091199263605,5362.764973292673,2754.7284351089065,3848.1022596496964,5294.5132483021725,8410.676064219293,10316.711489322252,11082.756271581966,8256.888745771254,6424.464206209646,12182.817468870047
14220.653580532311,13913.152784087464,20675.10335180363,18143.643146334867,21744.23075337439,19628.169266876732,18291.114948966573,8028.151469450409,7214.357178811432,5722.845221728106,9198.459306158176,10130.729109627553,8924.505652308093,14207.833019216425,10078.868893301189,7630.810668971253,3252.067457942946,0,2560.4609986211585,16642.528195452058,15241.81288123875,21340.068154044293,16129.23235084302,18234.441160320053,12240.238378838703,18913.52624451442,21282.688796486636,23210.166393643554,19690.066138560072,13148.258865727847,11846.209326715685,11866.266429970638,13688.301627144996,8954.36040828223,8064.283164004261,7763.281345629521,6678.604369189041,9934.349897947455,10775.252065440414,10330.858284584197,9957.014705335256,11970.123400738057,8519.378992415155,5968.467730641357,6894.576910811123,8519.990526551413,11602.87683380641,13536.734956999424,14102.467180362622,11349.931130343564,9426.029768245058,15148.265565801517
15821.737955032864,14941.846064546953,22190.132663994442,19476.204209855245,22830.212599938583,19831.569200403508,19831.502881591103,7746.31511375006,8416.20206651942,6846.620447342062,10196.126257626844,10473.630107294755,7852.673463667731,13524.70775620039,11899.420574582238,8969.86991178169,5794.998446065932,2560.4609986211585,0,18787.726327445755,17583.94651621713,23408.923850520234,18235.806914950972,20541.67540902832,14740.774765145181,21386.86120761383,23685.32182751084,25596.09885009177,22100.85899402643,15706.48104840496,14406.072580222064,14414.796373586594,16246.779068614615,11420.50664754287,10475.37725721328,9991.019605506262,9166.374715531345,12447.318554262876,12860.704948729894,12525.034660030768,12253.349278760084,14207.924380226454,11078.621490860723,8526.46013743985,9291.88134781465,11077.39126512043,14056.625849080823,16013.708872591556,16404.51276267663,13725.268961291158,11757.946687168758,17402.263656596744
5816.088688946367,9704.02082317558,7901.940576113504,8137.018862222836,11805.535294932482,16607.647875603943,6491.476086444288,15826.000281689621,11528.601582039984,12765.994769853767,11091.97663008147,13471.048585076105,18475.30204638127,18899.360445216607,18692.58312211942,19673.452515732366,14498.187419527972,16642.528195452058,18787.726327445755,0,3039.5055627777147,4777.944617686277,711.6004786418865,2914.007221614163,6960.473063794473,6412.978694421146,6534.456781997552,7938.439956690727,5496.702606907866,10256.021222639534,9520.509198249614,11048.867336306308,9060.136813858178,8561.754063424487,8964.081518453853,8884.367478541097,10574.971100917286,8447.796753215118,5934.708428992185,6315.131568856984,6823.458346614239,4751.134035150626,10622.550818143107,12528.95758315551,14417.302357180006,11313.303664777313,13535.096508296047,13385.701109687965,16339.629425580984,14658.472983780921,14922.159440562562,17350.998491584203
