id,col,del,region,sub,reg_sub,cp,new_region,num_diligencias_cpxgeo,num_addr_cpxgeo,area_sqkm,otros
36,"PIEDAD NARVARTE","BENITO JUAREZ",7,3,36,"03000",6,.1153574,.079584777,.0042316932,1
36,"ATENOR SALAS","BENITO JUAREZ",7,3,36,"03010",6,.0035385699,.010380623,.0013538001,1
36,"NARVARTE PONIENTE","BENITO JUAREZ",7,3,36,"03020",6,.19391365,.35294119,.024013113,1
36,"NARVARTE ORIENTE","BENITO JUAREZ",7,3,36,"03023",6,.18895966,.26297578,.024134226,1
40,"DEL VALLE","BENITO JUAREZ",8,2,40,"03100",18,.59801841,.62629759,.030042376,1
40,"DEL VALLE","BENITO JUAREZ",8,2,40,"03103",18,.50247699,.53633219,.021494256,1
40,"DEL VALLE","BENITO JUAREZ",8,2,40,"03104",18,.40835103,.45328718,.024072507,1
40,"TLACOQUEMECATL DEL VALLE","BENITO JUAREZ",8,2,40,"03200",18,.21797594,.22145329,.0073921275,1
40,"DEL VALLE","BENITO JUAREZ",8,2,40,"03220",18,.0021231419,0,,
39,"ACTIPAN","BENITO JUAREZ",8,1,39,"03230",20,.22009908,.069204152,.0029986505,1
39,"ACACIAS","BENITO JUAREZ",8,1,39,"03240",20,.084925689,.076124564,.0048676189,1
1,"PORTALES SUR","BENITO JUAREZ",1,1,1,"03300",1,.11111111,.14532872,.015366087,1
39,"PORTALES NORTE","BENITO JUAREZ",8,1,39,"03303",20,.050247699,.089965396,.018710332,1
39,"SANTA CRUZ ATOYAC","BENITO JUAREZ",8,1,39,"03310",20,.10757254,.11418685,.014762521,1
39,"SANTA CRUZ ATOYAC","BENITO JUAREZ",8,1,39,"03313",20,.01556971,.013840831,,
39,"RESIDENCIAL EMPERADORES","BENITO JUAREZ",8,1,39,"03320",20,.021939136,.020761246,.0017569122,1
1,"XOCO","BENITO JUAREZ",1,1,1,"03330",1,.10261855,.083044983,.0087522985,1
1,"GENERAL PEDRO MARIA ANAYA","BENITO JUAREZ",1,1,1,"03340",1,.0452937,.072664358,.0081064347,1
36,"ALAMOS","BENITO JUAREZ",7,3,36,"03400",6,.19745223,.23875433,.016678413,1
36,"POSTAL","BENITO JUAREZ",7,3,36,"03410",6,.002830856,.006920415,.0036816101,1
36,"MIGUEL ALEMAN","BENITO JUAREZ",7,3,36,"03420",6,.0042462852,.006920415,.00090792117,1
35,"JOSEFA ORTIZ DE DOMINGUEZ","BENITO JUAREZ",7,,35,"03430",9,.000707714,0,.00089651422,1
35,"NIÃâOS HEROES","BENITO JUAREZ",7,2,35,"03440",9,.019108281,.031141868,.0052334429,1
36,"NATIVITAS","BENITO JUAREZ",7,3,36,"03500",6,.032554846,.048442908,.0084204739,1
36,"MODERNA","BENITO JUAREZ",7,3,36,"03510",6,.036093418,.062283736,.0082832873,1
36,"IZTACCIHUATL","BENITO JUAREZ",7,3,36,"03520",6,.01556971,.020761246,.0026032783,1
36,"VILLA DE CORTEZ","BENITO JUAREZ",7,3,36,"03530",6,.0049539991,.010380623,.0025420471,1
39,"MARIA DEL CARMEN","BENITO JUAREZ",8,1,39,"03540",20,.020523708,.017301038,.0020874043,1
40,"ZACAHUITZCO","BENITO JUAREZ",8,2,40,"03550",18,.0021231419,.006920415,.0016447896,1
40,"ALBERT","BENITO JUAREZ",8,,40,"03560",18,.019815994,.010380623,.0023077927,1
40,"PORTALES ORIENTE","BENITO JUAREZ",8,2,40,"03570",18,.017692853,.027681662,.0044548889,1
40,"MIRAVALLE","BENITO JUAREZ",8,2,40,"03580",18,.0042462852,.003460208,.0019131494,1
2,"ERMITA","BENITO JUAREZ",1,2,2,"03590",15,.0042462852,.006920415,.0016452093,1
36,"VERTIZ NARVARTE","BENITO JUAREZ",7,3,36,"03600",6,.16206652,.11072665,.006793201,1
36,"AMERICAS UNIDAS","BENITO JUAREZ",7,3,36,"03610",6,.02406228,.013840831,.0033531799,1
36,"VERTIZ NARVARTE","BENITO JUAREZ",7,3,36,"03620",6,.0063694268,.010380623,.0012353366,1
36,"INDEPENDENCIA","BENITO JUAREZ",7,3,36,"03630",6,.032554846,.038062282,.0061304849,1
41,"AMERICAS UNIDAS","BENITO JUAREZ",8,3,41,"03640",20,.001415428,.003460208,.00032514244,1
40,"LETRAN VALLE","BENITO JUAREZ",8,2,40,"03650",18,.11606511,.12110727,.010300282,1
41,"SAN SIMON TICUMAC","BENITO JUAREZ",8,3,41,"03660",20,.10686482,.096885815,.00888428,1
21,"NONOALCO","BENITO JUAREZ",4,2,21,"03700",22,.12455768,.11072665,.0084367776,1
41,"CIUDAD DE LOS DEPORTES","BENITO JUAREZ",8,3,41,"03710",20,.073602267,.08650519,.0056323083,1
42,"NOCHEBUENA","BENITO JUAREZ",8,4,42,"03720",20,.0905874,.072664358,.0019549511,1
40,"SAN JUAN","BENITO JUAREZ",8,2,40,"03730",18,.029016277,.034602076,.0044090957,1
42,"EXTREMADURA INSURGENTES","BENITO JUAREZ",8,4,42,"03740",20,.077848546,.048442908,.0032767367,1
40,"SAN PEDRO DE LOS PINOS","BENITO JUAREZ",8,2,40,"03800",18,.20806794,.19723183,.013988243,1
41,"NAPOLES","BENITO JUAREZ",8,3,41,"03810",20,.54069358,.32525951,.013706618,1
40,"8 DE AGOSTO","BENITO JUAREZ",8,2,40,"03820",18,.02406228,.034602076,.001646027,1
41,"NAPOLES","BENITO JUAREZ",8,3,41,"03840",20,.1606511,.13494809,.0039288034,1
42,"SAN JOSE INSURGENTES","BENITO JUAREZ",8,4,42,"03900",20,.20028308,.13148789,.010283634,1
21,"MIXCOAC","BENITO JUAREZ",4,2,21,"03910",22,.060155697,.062283736,.0060548075,1
40,"INSURGENTES MIXCOAC","BENITO JUAREZ",8,2,40,"03920",18,.10332625,.11418685,.0077812877,1
21,"MERCED GOMEZ","BENITO JUAREZ",4,2,21,"03930",22,.0049539991,.003460208,.0014490479,1
39,"CREDITO CONSTRUCTOR","BENITO JUAREZ",8,1,39,"03940",20,.063694268,.069204152,.002148862,1
1,"","COYOACAN",1,,1,"04000",1,.030431706,.055363324,.0045985803,1
1,"SANTA CATARINA","COYOACAN",1,1,1,"04010",1,.041755132,.065743946,.013123906,1
6,"BARRIO LA CONCEPCION","COYOACAN",1,6,6,"04020",13,.0099079972,.013840831,.0041001779,1
1,"BARRIO SAN LUCAS","COYOACAN",1,1,1,"04030",1,.030431706,.027681662,.0057872855,1
1,"PARQUE SAN ANDRES","COYOACAN",1,1,1,"04040",1,.028308563,.041522492,.0083745979,1
1,"DEL CARMEN","COYOACAN",1,1,1,"04100",1,.11677282,.20415226,.03177293,1
1,"SAN DIEGO CHURUBUSCO","COYOACAN",1,1,1,"04120",1,.021939136,.027681662,.010062035,1
2,"CAMPESTRE CHURUBUSCO","COYOACAN",1,2,2,"04200",15,.041755132,.069204152,.025301179,1
2,"CHURUBUSCO COUNTRY CLUB","COYOACAN",1,2,2,"04210",15,.01203114,.010380623,.018623959,1
2,"PRADO CHURUBUSCO","COYOACAN",1,2,2,"04230",15,.023354564,.044982698,.012055259,1
2,"HERMOSILLO","COYOACAN",1,2,2,"04240",15,.0021231419,.003460208,.0009759168,1
2,"PASEOS DE TAXQUEÃâA","COYOACAN",1,2,2,"04250",15,.014154281,.024221454,.01840689,1
2,"SAN FRANCISCO CULHUACAN","COYOACAN",1,2,2,"04260",15,.046709128,.055363324,.018428592,1
2,"CAMPESTRE CHURUBUSCO","COYOACAN",1,2,2,"04270",15,0,0,,
1,"AJUSCO","COYOACAN",1,1,1,"04300",1,.062986553,.079584777,.035556406,1
1,"ROMERO DE TERREROS","COYOACAN",1,1,1,"04310",1,.059447981,.062283736,.020173565,1
1,"ROMERO DE TERREROS","COYOACAN",1,1,1,"04317",1,.001415428,0,,
1,"OXTOPULCO UNIVERSIDAD","COYOACAN",1,1,1,"04318",1,.01556971,.020761246,.0042334697,1
1,"SAN FRANCISCO","COYOACAN",1,1,1,"04320",1,.012738854,.024221454,.011845613,1
1,"","COYOACAN",1,1,1,"04330",1,.033970278,.051903114,.024574213,1
1,"COPILCO UNIVERSIDAD","COYOACAN",1,1,1,"04340",1,.0077848551,.013840831,.0041964906,1
1,"XOCO","BENITO JUAREZ",1,1,1,"04350",1,.0042462852,.006920415,,
1,"COPILCO","COYOACAN",1,,1,"04359",1,.005661713,0,,
1,"COPILCO UNIVERSIDAD","COYOACAN",1,1,1,"04360",1,.041755132,.072664358,.0070254463,1
1,"PEDREGAL DE SANTO DOMINGO","COYOACAN",1,1,1,"04369",1,.029723991,.062283736,.041117668,1
1,"CIUDAD JARDIN","COYOACAN",1,1,1,"04370",1,.02406228,.038062282,.0096264742,1
1,"EL ROSARIO","COYOACAN",1,1,1,"04380",1,.019108281,.034602076,.012531458,1
2,"EDUCACION","COYOACAN",1,2,2,"04400",15,.021939136,.048442908,.010315003,1
2,"PETROLERA TAXQUEÃâA","COYOACAN",1,2,2,"04410",15,.0021231419,.003460208,.0018756648,1
2,"SAN FRANCISCO CULHUACAN","COYOACAN",1,2,2,"04420",15,.020523708,.034602076,.010537321,1
2,"SAN FRANCISCO CULHUACAN","COYOACAN",1,2,2,"04440",15,.0021231419,.003460208,.009745216,1
2,"CENTINELA","COYOACAN",1,2,2,"04450",15,.002830856,.003460208,.0030747894,1
2,"AVANTE","COYOACAN",1,2,2,"04460",15,.024769993,.038062282,.015436049,1
2,"PRESIDENTES EJIDALES 1A SECCION","COYOACAN",1,2,2,"04470",15,.01556971,.024221454,.0090035303,1
5,"CULHUACAN","COYOACAN",1,5,5,"04480",13,.0035385699,.003460208,.01339962,1
2,"CARMEN SERDAN","COYOACAN",1,2,2,"04490",15,.001415428,.003460208,.0063823112,1
1,"JARDINES DEL PEDREGAL DE SAN ANGEL","COYOACAN",1,1,1,"04500",1,.019108281,.031141868,.013176085,1
